Date Created,Number of Likes,Source of Tweet,Tweet,Location,Number of Retweets,#hashtags
2023-02-27 03:01:37+00:00,41194,Twitter for iPhone,is there any other way to be? https://t.co/P0ntNjem8g,,3181,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/P0ntNjem8g', 'expanded_url': 'https://twitter.com/SpencerAlthouse/status/1630015201180278785', 'display_url': 'twitter.com/SpencerAlthous…', 'indices': [30, 53]}]}"
2023-01-06 23:48:42+00:00,19234,Twitter Web App,I prefer screams of agony. https://t.co/UDwZskDOmX,,926,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UDwZskDOmX', 'expanded_url': 'https://twitter.com/switie_nerd13/status/1611413450332467203', 'display_url': 'twitter.com/switie_nerd13/…', 'indices': [27, 50]}]}"
2023-01-06 17:00:31+00:00,133591,Twitter Media Studio,More torture is coming. Lucky you. https://t.co/t11LptFk7e,,22806,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1611172327634661378, 'id_str': '1611172327634661378', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/FlwKykgacAEkxSQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FlwKykgacAEkxSQ.jpg', 'url': 'https://t.co/t11LptFk7e', 'display_url': 'pic.twitter.com/t11LptFk7e', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1611407377227456513/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}"
2023-01-06 03:53:50+00:00,123,Twitter for iPhone,@SMediaProd01 @netflix Indeed,,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SMediaProd01', 'name': 'Seeking Media Productions', 'id': 884249604694343680, 'id_str': '884249604694343680', 'indices': [0, 13]}, {'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [14, 22]}], 'urls': []}"
2023-01-03 19:45:48+00:00,16833,Twitter Web App,"Your daughters are correct. As the saying goes, you’re never fully dressed with a smile. https://t.co/z371tFLNNc",,673,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/z371tFLNNc', 'expanded_url': 'https://twitter.com/Camila_Servello/status/1610283134884483080', 'display_url': 'twitter.com/Camila_Servell…', 'indices': [89, 112]}]}"
2022-12-07 21:58:14+00:00,25519,Twitter Web App,https://t.co/0t5UQJlj1w https://t.co/b2mwPWPG8e,,1797,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0t5UQJlj1w', 'expanded_url': 'https://twitter.com/TimBurtonErythg/status/1596251089388511232', 'display_url': 'twitter.com/TimBurtonEryth…', 'indices': [0, 23]}], 'media': [{'id': 1600568523708723200, 'id_str': '1600568523708723200', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/FjZcl5ZUcAA-2F4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FjZcl5ZUcAA-2F4.jpg', 'url': 'https://t.co/b2mwPWPG8e', 'display_url': 'pic.twitter.com/b2mwPWPG8e', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1600610661368676353/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}}]}"
2022-12-04 22:22:43+00:00,8598,Twitter for iPhone,@xnanailyana I started this account because Thing told me twitter was the most effective place to feel pain and suffering. He was right.,,888,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xnanailyana', 'name': '💕', 'id': 984560623, 'id_str': '984560623', 'indices': [0, 12]}], 'urls': []}"
2022-12-04 20:29:06+00:00,6980,Twitter for iPhone,"Coincidentally, bend and snap is also the most efficient way to pillory your enemies. @ReeseW… https://t.co/SIiT5M1kvb",,451,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ReeseW', 'name': 'Reese Witherspoon', 'id': 1198406491, 'id_str': '1198406491', 'indices': [86, 93]}], 'urls': [{'url': 'https://t.co/SIiT5M1kvb', 'expanded_url': 'https://twitter.com/i/web/status/1599501069499129857', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [95, 118]}]}"
2022-12-04 18:00:00+00:00,21749,Twitter Media Studio,Eugene is looking for new recruits to join the Hummers. RT if you're interested. https://t.co/IOx10B6br2,,4724,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1598837888216494080, 'id_str': '1598837888216494080', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/FjA2lpyUcAAugGd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FjA2lpyUcAAugGd.jpg', 'url': 'https://t.co/IOx10B6br2', 'display_url': 'pic.twitter.com/IOx10B6br2', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1599463547393622017/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}"
2022-12-03 18:00:01+00:00,18842,Twitter Media Studio,I love to start my weekends with a good blood bath. https://t.co/5FG8mDc5hQ,,1628,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1598035468976721920, 'id_str': '1598035468976721920', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Fi1cytLVEAADirY.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Fi1cytLVEAADirY.jpg', 'url': 'https://t.co/5FG8mDc5hQ', 'display_url': 'pic.twitter.com/5FG8mDc5hQ', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1599101162887811073/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}"
